Ratio H/L normalized pd2_forward	Ratio H/L normalized pd2_reverse	Ratio H/L normalized pd4_forward	Ratio H/L normalized pd4_reverse	Only identified by site	Reverse	Contaminant	Ratio H/L normalized pd2_forward B significant	Ratio H/L normalized pd2_reverse B significant	Ratio H/L normalized pd4_forward B significant	Ratio H/L normalized pd4_reverse B significant	Peptides	Unique peptides	Intensity pd2_forward	Intensity pd2_reverse	Intensity pd4_forward	Intensity pd4_reverse	Ratio H/L normalized pd2_forward Significance B	Ratio H/L normalized pd2_reverse Significance B	Ratio H/L normalized pd4_forward Significance B	Ratio H/L normalized pd4_reverse Significance B	Protein IDs	Majority protein IDs	Protein names	Gene names	Proteins	Color
-0.1429904	0.7087611	1.387693	-1.29658								13	9	131230000	60674000	343310000	339670000	0.254544362071285	0.958940891646985	0.661444749143882	0.169479319933215	P60335;P57724	P60335	Poly(rC)-binding protein 1	Pcbp1	2	
1.209516	0.559345	1.715147	0.587173								4	4	7144500	1905900	10902000	2677100	0.686615144926564	0.99185776744984	0.805949474153481	0.661295631027093	P60824;D3YU80	P60824;D3YU80	Cold-inducible RNA-binding protein	Cirbp	2	
NaN	2.506805	NaN	3.165992								3	3	3554200	2690200	3955100	8532900	1	0.462208570876473	1	0.398940639541079	P60843;Q3TSJ4;P10630-2;P10630;Q8BTU6;E9Q561	P60843;Q3TSJ4	Eukaryotic initiation factor 4A-I	Eif4a1	6	
3.630988	2.70854	3.64351	2.420213								3	3	21286000	12743000	16624000	76495000	0.224032034378327	0.416833033493961	0.205568704783133	0.636370109064505	P60867	P60867	40S ribosomal protein S20	Rps20	1	
NaN	NaN	NaN	NaN								1	1	3116700	1443000	0	3828900	1	1	1	1	P61161	P61161	Actin-related protein 2	Actr2	1	
NaN	NaN	NaN	NaN								1	1	0	137650	791250	422850	1	1	1	1	P61164;Q8R5C5	P61164;Q8R5C5	Alpha-centractin;Beta-centractin	Actr1a;Actr1b	2	
2.77311	2.895341	2.906352	3.644202								9	9	211850000	248560000	277400000	401890000	0.551844612428831	0.377257006093096	0.517068469938003	0.279591258764778	P61255;B1ARA3;B1ARA5;D3Z3Q9;G3UW96	P61255;B1ARA3;B1ARA5;D3Z3Q9	60S ribosomal protein L26	Rpl26;Rpl26-ps2	5	
1.885262	-0.5523044	NaN	NaN								3	3	12173000	1495100	1432000	1069300	0.971470118599008	0.412896671716557	1	1	P61327;Q9CQL1;G3UYI5;G3UZW7	P61327;Q9CQL1	Protein mago nashi homolog;Protein mago nashi homolog 1-related	Magoh;Magoh-rs1	4	
1.551737	0.1388144	2.074711	-0.1876249								12	12	2544800000	1063800000	1980700000	2319800000	0.828019355486726	0.751930878181839	0.972449759796508	0.410504778953374	P61358;G3UWF4;A2A4Q0;E9PV49	P61358;G3UWF4;A2A4Q0	60S ribosomal protein L27	Rpl27;Rpl27-ps1	4	
4.715344	3.90814	4.560715	4.66249								4	4	120340000	53161000	68447000	140170000	0.045428436077009	0.204764682689569	0.041875468750947	0.112413129862391	P61514;E9Q2Z2	P61514;E9Q2Z2	60S ribosomal protein L37a	Rpl37a;Gm4613	2	
1.542357	0.1450905	1.717474	-0.3420674								2	2	5179200	1615100	11531000	11202000	0.824044109448952	0.755398353070732	0.807007384300199	0.368266672798242	P61620	P61620	Protein transport protein Sec61 subunit alpha isoform 1	Sec61a1	1	
0.9262272	-0.3526947	1.692472	-0.5153772								15	15	558320000	323370000	438680000	720010000	0.577120130294227	0.500557497912896	0.795659732444133	0.324223188719197	P61965;F6Q3W0	P61965;F6Q3W0	WD repeat-containing protein 5	Wdr5	2	
1.625972	1.649937	2.065331	2.150527								13	13	260660000	95033000	350640000	232930000	0.859626231068483	0.682261833108376	0.96805843844314	0.734823348156533	P62082;F6SVV1	P62082;F6SVV1	40S ribosomal protein S7	Rps7;Gm9493	2	
NaN	1.505891	NaN	2.220578								12	3	2396500	1893400	1637100	5372800	1	0.722887130092031	1	0.708747121032771	P62137;Q3TYF5	P62137;Q3TYF5	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase	Ppp1ca	2	
NaN	NaN	2.324724	NaN								11	3	1480600	579900	4837900	0	1	1	0.87265952176629	1	P62141	P62141	Serine/threonine-protein phosphatase PP1-beta catalytic subunit	Ppp1cb	1	
5.265324	3.513364	5.419168	4.079463								6	6	46743000	10694000	40541000	60366000	0.01645310356241	0.263578178971845	0.005879750854447	0.194421115042626	Q3UKW2;P62204;Q9D6P8;G3UX57	Q3UKW2;P62204;Q9D6P8	Calmodulin;Calmodulin-like protein 3	Calm1;Calml3	4	
3.267431	3.288093	3.630755	3.620586								10	10	210690000	93866000	233100000	416400000	0.340713361601683	0.30192645776464	0.209423600121404	0.284845238024943	P62242;Q5SZV3;G3XA55;D3YW44	P62242;Q5SZV3;G3XA55;D3YW44	40S ribosomal protein S8	Rps8;Gm11353;Rps8-ps1;Gm5121	4	
3.313971	2.724454	2.547549	3.922388								7	7	105030000	28419000	41117000	43092000	0.323917440639381	0.413369125682137	0.728531829867732	0.22264424511869	P62245;F8WJ41;D3YXU0;D3Z7W9;D3YVB4;D3Z712	P62245;F8WJ41;D3YXU0;D3Z7W9;D3YVB4;D3Z712	40S ribosomal protein S15a	Rps15a;Rps15a-ps1;Rps15a-ps2	6	
NaN	NaN	NaN	NaN								3	1	19797000	6908100	0	0	1	1	1	1	P62259;F6VW30;F6YY69;O70456;P61982;P68510;Q9CQV8;P68254;Q9CQV8-2;P68254-2;F6WA09;D6REF3;A2A5N1;D3YXN6	P62259;F6VW30;F6YY69;O70456;P61982;P68510;Q9CQV8;P68254;Q9CQV8-2;P68254-2;F6WA09;D6REF3	14-3-3 protein epsilon;14-3-3 protein sigma;14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed;14-3-3 protein eta;14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed;14-3-3 protein theta	Ywhae;Ywhaq;Sfn;Ywhag;Ywhah;Ywhab	14	
2.298336	3.384603	3.039472	3.357693								4	4	117590000	123680000	189700000	232330000	0.801515369521094	0.285065035209371	0.447572664078215	0.347827786973068	P62264;D3Z1P6;D3Z7I1;D3YVF4	P62264;D3Z1P6;D3Z7I1;D3YVF4	40S ribosomal protein S14	Rps14;Gm5805	4	
2.747796	3.060583	3.811265	3.828022								9	9	107170000	63703000	243550000	272140000	0.564157539844181	0.344251997507473	0.15958240891742	0.240949548970428	Q9CZI5;P62267;D3YXF9	Q9CZI5;P62267	40S ribosomal protein S23	Rps23	3	
3.236998	2.46887	2.396242	3.505002								8	8	181390000	47662000	124360000	216910000	0.351992781236997	0.471038944421305	0.825687572949674	0.311519038012696	P62301;Q921R2	P62301;Q921R2	40S ribosomal protein S13	Rps13	2	
NaN	-0.4828151	NaN	NaN								2	2	3565900	3420300	0	5269400	1	0.442332185750492	1	1	P62307;F6VHB7	P62307;F6VHB7	Small nuclear ribonucleoprotein F	Snrpf;Gm6616	2	
2.320051	NaN	NaN	NaN								2	2	22357000	641720	1761500	1102900	0.789389986340026	1	1	1	P62309;Q3V424	P62309;Q3V424	Small nuclear ribonucleoprotein G	Snrpg	2	
NaN	NaN	NaN	NaN								1	1	1274500	566610	0	470020	1	1	1	1	P62311	P62311	U6 snRNA-associated Sm-like protein LSm3	Lsm3	1	
NaN	NaN	NaN	NaN								1	1	0	0	2439400	0	1	1	1	1	P62315	P62315	Small nuclear ribonucleoprotein Sm D1	Snrpd1	1	
3.023681	-0.795759	NaN	1.908313								3	3	43147000	19330000	32989000	26605000	0.437544808100142	0.319302140383362	1	0.827188037546176	P62317;D3Z5N9;E9Q2T1;D3Z426	P62317;D3Z5N9;E9Q2T1	Small nuclear ribonucleoprotein Sm D2	Snrpd2;Gm5449;Gm5848	4	
NaN	NaN	NaN	NaN								1	1	21025000	9642300	14722000	8550500	1	1	1	1	P62320	P62320	Small nuclear ribonucleoprotein Sm D3	Snrpd3	1	
2.321062	-1.053643	NaN	NaN								1	1	1236600	437680	0	416310	0.788826747865766	0.236620858877146	1	1	P62322	P62322	U6 snRNA-associated Sm-like protein LSm5	Lsm5	1	
2.889688	2.348657	2.822057	2.959789								20	9	259390000	128980000	304910000	346590000	0.496903543477932	0.49962679385328	0.56380103013645	0.458688166098333	P62702;Q545F8;D3Z2E6	P62702;Q545F8	40S ribosomal protein S4, X isoform	Rps4x	3	
3.817521	4.018011	3.864731	4.591021								10	10	583060000	402860000	630510000	805600000	0.176734788215092	0.190238778147861	0.146696774659457	0.120683441395362	P62717;F6YJW4;D3YVT7	P62717	60S ribosomal protein L18a	Rpl18a	3	
3.157432	3.315479	2.837136	2.40204								11	11	135660000	72434000	135640000	199920000	0.38258339374601	0.29707560190462	0.555294061144309	0.642829684658811	P62754;D3Z6N6;D3YX41	P62754;D3Z6N6;D3YX41	40S ribosomal protein S6	Rps6;Rps6-ps1;Rps6-ps2	3	
0.9259235	0.1718473	1.381505	0.4053389								7	7	431220000	208350000	356530000	414900000	0.577007251695324	0.770235718301168	0.658812743120028	0.597186281528869	P62806	P62806	Histone H4	Hist1h4a	1	
NaN	NaN	1.432158	NaN								3	3	0	0	3106200	2011100	1	1	0.680477141354292	1	P62827;Q61820;Q14AA6	P62827;Q61820;Q14AA6	GTP-binding nuclear protein Ran;GTP-binding nuclear protein Ran, testis-specific isoform	Ran;Rasl2-9;1700009N14Rik	3	
2.918997	2.481738	3.056653	2.811019								10	10	137390000	110620000	247280000	245410000	0.483563979827037	0.468033152436236	0.439006921946517	0.504737862169394	P62830;A2A6F8	P62830	60S ribosomal protein L23	Rpl23	2	
2.23585	2.33514	0.8723954	0.9331194								2	2	87907000	47097000	88231000	104330000	0.836663708198711	0.502897957033775	0.45901044179322	0.79002640821841	P62855	P62855	40S ribosomal protein S26	Rps26	1	
1.936176	1.947965	2.319387	2.313623								3	3	177350000	75066000	186210000	229030000	0.993568306676906	0.601177410910807	0.87618535083747	0.674636569524238	Q642K5;P62862	Q642K5;P62862	40S ribosomal protein S30	Fau	2	
NaN	NaN	NaN	NaN								2	2	0	0	0	158100	1	1	1	1	P62874;E9QKR0;P29387;P62880;Q61011;D3YZX3;D3Z1M1;D3Z1T4	P62874;E9QKR0;P29387;P62880;Q61011;D3YZX3;D3Z1M1;D3Z1T4	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1;Guanine nucleotide-binding protein subunit beta-4;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3	Gnb1;Gnb2;Gnb4;Gnb3	8	
2.631896	2.940204	-0.7213491	2.659651								8	8	155450000	130890000	158190000	364380000	0.622156599291082	0.36810884894167	0.093689921839543	0.553979854389854	P62889;F7CZ57;D3YU37;D3Z2H8;D3YU72	P62889;F7CZ57	60S ribosomal protein L30	Rpl30;Gm10343	5	
NaN	NaN	NaN	NaN								1	1	27542000	2786300	8436400	16175000	1	1	1	1	P62892	P62892	60S ribosomal protein L39	Rpl39	1	
3.041383	2.632338	2.27038	3.127947								8	8	336390000	210480000	203440000	402260000	0.430020040931857	0.433656014901871	0.908664612476454	0.409597615815316	P62900;D3YVU2;D3YY62;E9Q4I3;D3YWP7	P62900;D3YVU2;D3YY62	60S ribosomal protein L31	Rpl31;Gm16382;Gm9858	5	
3.977371	3.033511	3.919817	3.293841								12	12	85069000	45882000	71406000	96430000	0.142493882503513	0.349529303136391	0.134268928001918	0.364369868692926	P62908;D3YV43	P62908;D3YV43	40S ribosomal protein S3	Rps3	2	
3.612235	4.099042	5.043913	2.431035								9	9	350430000	306820000	541200000	447460000	0.229245813662356	0.180022293509796	0.014694195377734	0.632536635818078	P62911;A2AD25;P17932;F6WJV0	P62911	60S ribosomal protein L32	Rpl32	4	
3.681899	3.834812	1.458959	1.731661								11	11	330520000	234930000	440070000	687280000	0.210306721978115	0.214898054835987	0.692049364094024	0.896175785119317	P62918	P62918	60S ribosomal protein L8	Rpl8	1	
-0.6147789	1.504824	0.2058929	1.870384								3	3	67593000	25091000	16466000	27347000	0.162687039056982	0.723191206333385	0.257712155645193	0.841907196308736	P62960;Q9JKB3;Q9Z2C8;B2RUF0;Q9JKB3-2;Q9Z2C8-2;F6TIF5;A2BGG7;Q497N3	P62960;Q9JKB3;Q9Z2C8;B2RUF0;Q9JKB3-2;Q9Z2C8-2;F6TIF5	Nuclease-sensitive element-binding protein 1;DNA-binding protein A;Y-box-binding protein 2	Ybx1;Csda;Ybx2	9	
2.546364	NaN	NaN	NaN								2	2	4322700	2508800	5560100	4340900	0.666545906271233	1	1	1	P62983	P62983	Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a	Rps27a	1	
2.744075	-0.3271312	2.805932	2.358284								8	6	79189000	83495000	8604800	31173000	0.565978279279573	0.512456047199181	0.572966993556957	0.658493269355695	P62996;F8WJG3;P62996-2	P62996;F8WJG3	Transformer-2 protein homolog beta	Tra2b	3	
0.1925729	0.01264022	0.9036554	-0.2270333								30	26	1023000000	416140000	863240000	958340000	0.338671495244844	0.683367569392863	0.470218884847582	0.399462411734542	P63017;Q504P4;P17156;D3Z5E2;D3YW43;P17879;Q61696	P63017;Q504P4	Heat shock cognate 71 kDa protein	Hspa8	7	
1.305971	0.4985572	1.675229	-0.1129427								6	6	16069000	4434200	10323000	11149000	0.725611140741698	0.956599477525009	0.787858482927234	0.431921820517849	P63037;B1AXY1;B1AXY0;B1AXX9	P63037;B1AXY1	DnaJ homolog subfamily A member 1	Dnaja1	4	
3.368489	2.588853	3.225352	3.213487								12	2	44118000	18129000	43616000	52062000	0.304940540440584	0.443429519405991	0.360036829078765	0.385873568439956	P63087-2;P63087	P63087-2;P63087	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	Ppp1cc	2	
NaN	-0.9372151	NaN	NaN								3	1	5708200	4826100	5720700	929990	1	0.271861139107056	1	1	P63101	P63101	14-3-3 protein zeta/delta	Ywhaz	1	
1.737817	-1.21786	NaN	NaN								5	1	9683200	3977100	0	0	0.907658248108688	0.192600514923287	1	1	P63154	P63154	Crooked neck-like protein 1	Crnkl1	1	
4.641719	4.910493	5.237487	4.700495								25	1	4271400000	3176400000	7287200000	7943900000	0.051489148423518	0.099095971372382	0.009265302784154	0.108200948655406	P63260;E9Q607;B1ATY1;G3UYG0	P63260;E9Q607	Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed	Actg1	4	
3.688516	2.722772	3.397529	NaN								4	4	12365000	8109000	28087000	2943300	0.208568415604608	0.413734404080298	0.28931101587614	1	P63323;Q6ZWZ6;D3Z1P4;D3Z6B6	P63323;Q6ZWZ6;D3Z1P4;D3Z6B6	40S ribosomal protein S12	Rps12;Gm10063;Rps12-ps2	4	
3.089736	3.00299	3.510835	3.608691								2	2	16282000	7832900	14476000	15230000	0.409853283255817	0.355540075290493	0.24824562643416	0.287516800685976	P63325;Q3UW83	P63325;Q3UW83	40S ribosomal protein S10	Rps10	2	
3.069874	3.7392	2.75713	3.945608								3	3	19474000	14624000	33861000	44628000	0.418068140961969	0.228647109897376	0.60113064021672	0.21829680839437	P67984	P67984	60S ribosomal protein L22	Rpl22	1	
5.603567	5.329231	5.792283	5.604902								13	1	208130000	71491000	240290000	276870000	0.008205245988493	0.070531249314542	0.002160726431153	0.039790018189815	P68033;P68134;P62737;P63268;D3YZY0;D3Z2K3	P68033;P68134;P62737;P63268;D3YZY0;D3Z2K3	Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle	Actc1;Acta1;Acta2;Actg2	6	
NaN	NaN	NaN	NaN								13	1	765370	0	1026200	0	1	1	1	1	P68368	P68368	Tubulin alpha-4A chain	Tuba4a	1	
NaN	0.216486	1.188971	0.5464624								16	1	3761200	2427200	9230400	14829000	1	0.795174712368366	0.579168470492212	0.646702410187202	P68372	P68372	Tubulin beta-4B chain	Tubb4b	1	
NaN	NaN	NaN	NaN								15	0	8465400	0	0	9171000	1	1	1	1	P68373;Q9JJZ2;Q3UX10	P68373;Q9JJZ2	Tubulin alpha-1C chain;Tubulin alpha-8 chain	Tuba1c;Tuba8	3	
2.303021	1.623305	2.775851	NaN								5	5	5221700	1344900	4391200	1006500	0.798895286425764	0.689708021413639	0.590252786327246	1	P70168	P70168	Importin subunit beta-1	Kpnb1	1	
NaN	-0.2744246	NaN	NaN								3	2	397770	4785700	0	0	1	0.537445848210695	1	1	P70178	P70178	Homeobox protein SIX5	Six5	1	
2.813463	2.955871	2.714136	4.097274								12	12	190450000	17574000	78986000	64468000	0.532494190897238	0.364947104059695	0.626448002485879	0.19139464788358	P70279;A2ALA0	P70279;A2ALA0	Surfeit locus protein 6	Surf6	2	
1.275484	-2.318758	2.327515	-3.207295								13	7	14318000	13893000	29617000	53305000	0.7132027631872	0.035404125902832	0.870817050767533	0.020177779908551	P70288;Q8BQ10;E9PXS3	P70288;Q8BQ10	Histone deacetylase 2	Hdac2	3	nurd
NaN	0.04795711	-0.566485	0.5113668								5	5	2517400	15487000	15475000	43902000	1	0.702325642192545	0.112894158133915	0.634229886764608	P70324;P70324-2;Q60707;Q9JKD8	P70324;P70324-2	T-box transcription factor TBX3	Tbx3	4	
2.158111	-0.8421284	NaN	1.652372								6	3	7871500	2001900	0	2363600	0.880843187180873	0.30318768413015	1	0.927430486132873	P70333	P70333	Heterogeneous nuclear ribonucleoprotein H2	Hnrnph2	1	
0.3171883	-0.3373752	1.20989	-1.221455								15	10	82855000	27529000	31393000	37272000	0.374009772434803	0.507670346706688	0.587600245421457	0.181366199066688	P70351;P70351-2	P70351;P70351-2	Histone-lysine N-methyltransferase EZH1	Ezh1	2	
NaN	NaN	NaN	NaN								1	1	0	504230	0	0	1	1	1	1	P70353	P70353	Nuclear transcription factor Y subunit gamma	Nfyc	1	
NaN	NaN	NaN	NaN								1	1	3596300	532610	0	0	1	1	1	1	P70371	P70371	Telomeric repeat-binding factor 1	Terf1	1	
2.998376	-1.090987	3.291545	2.340904								9	9	163430000	69263000	10323000	13669000	0.448432030114924	0.226033840267452	0.331655127489749	0.664757087443015	P70372	P70372	ELAV-like protein 1	Elavl1	1	
3.097981	-3.816362	3.047695	-3.120043								23	23	54487000	25027000	38014000	55792000	0.406471084565233	0.001407798971236	0.443460983907657	0.022626469947215	P70700;A2AP84	P70700	DNA-directed RNA polymerase I subunit RPA2	Polr1b	2	
NaN	NaN	NaN	NaN								1	1	829940	0	1221600	701700	1	1	1	1	P80314	P80314	T-complex protein 1 subunit beta	Cct2	1	
-2.515398	2.912343	-1.997406	2.962086								9	7	475090000	280300000	52752000	82619000	0.015088022582437	0.373773730405913	0.015287951976426	0.457995925985481	P81269;E9PWM8;F6U840;E9PZB1	P81269	Cyclic AMP-dependent transcription factor ATF-1	Atf1	4	
2.389594	NaN	NaN	NaN								4	4	83431000	72611000	117190000	194120000	0.750914609978489	1	1	1	P83882	P83882	60S ribosomal protein L36a	Rpl36a	1	
3.033599	0.4166236	3.981031	3.498251								7	7	132290000	65530000	77542000	70933000	0.43331944191825	0.909222756817766	0.121431056800809	0.313126214603133	G3UW85;P84089;Q9D9P6	G3UW85;P84089	Enhancer of rudimentary homolog	Erh	3	
1.137766	1.314464	1.945458	2.136126								9	8	355820000	203810000	328290000	348190000	0.658132176748317	0.77808905220331	0.912070578900626	0.740223533197391	P84104;P84104-2;A2A4X6	P84104;P84104-2;A2A4X6	Serine/arginine-rich splicing factor 3	Srsf3;Gm12355	3	
3.820281	-3.573896	3.455755	-3.206362								2	2	12894000	3223200	14028000	7851300	0.176095634423621	0.002555594572968	0.267669277220906	0.020202681464823	P97304	P97304	DNA-directed RNA polymerases I and III subunit RPAC2	Polr1d	1	
NaN	NaN	2.841228	NaN								4	3	1109100	0	7175500	5416500	1	1	0.55299596056632	1	P97379;P97379-2	P97379;P97379-2	Ras GTPase-activating protein-binding protein 2	G3bp2	2	
0.153546	0.03463829	1.457279	-0.7440039								5	5	7256600	3493300	7043700	14068000	0.328060042252091	0.695153565258292	0.691321726266223	0.271599435256377	P97742	P97742	Carnitine O-palmitoyltransferase 1, liver isoform	Cpt1a	1	
NaN	NaN	NaN	0.3819478								3	2	0	0	1106300	2232900	1	1	1	0.589148345225983	P97855;Q3UR88	P97855;Q3UR88	Ras GTPase-activating protein-binding protein 1	G3bp1	2	
NaN	NaN	NaN	2.747559								1	1	313100	492970	0	1177500	1	1	1	0.525097590128556	P97875	P97875	Jun dimerization protein 2	Jdp2	1	
0.5483379	0.6925164	1.30871	0.5953127								17	3	102200000	48920000	118900000	141470000	0.445335776998835	0.963863859415122	0.628176973884841	0.664229150409802	P99024;G3UZR1	P99024	Tubulin beta-5 chain	Tubb5	2	
4.771885	4.076816	5.239436	4.891273								5	5	251140000	122010000	475430000	415500000	0.041192575129158	0.182783198137669	0.009221256827525	0.088911077727427	P99027;G3UW69	P99027;G3UW69	60S acidic ribosomal protein P2	Rplp2;Rplp2-ps1	2	
0.8025655	-0.4278671	1.90381	0.8497591								32	24	293310000	100690000	88161000	86787000	0.532047661344619	0.466434647741126	0.892705928003458	0.75832165606032	Q01320	Q01320	DNA topoisomerase 2-alpha	Top2a	1	
1.890135	2.553754	3.194024	2.43173								12	10	57555000	29427000	75577000	65018000	0.973584630344521	0.451409110963654	0.373985838580094	0.632290607124273	Q02248;E9Q6A9;F7BAC9;F7CRC6;F6QZ47;D3YUH4	Q02248;E9Q6A9	Catenin beta-1	Ctnnb1	6	
1.350158	-0.2312271	1.67333	1.130799								15	13	20205000	23160000	28274000	53459000	0.743723595314589	0.558373876392337	0.787000817446066	0.866521175650058	Q02257	Q02257	Junction plakoglobin	Jup	1	
0.6673926	-0.2359596	1.584818	-1.213839								27	27	1335300000	642400000	612580000	680740000	0.484905941307313	0.556061906751216	0.747318435649928	0.182605036319719	Q02395;E9QAD3;Q02395-2;E9Q8G7;F6Q1Z6;E9Q5U4;E9PZE8;E9PZQ6	Q02395;E9QAD3;Q02395-2	Metal-response element-binding transcription factor 2	Mtf2	8	
NaN	NaN	NaN	NaN								1	1	8691600	2334500	4463600	6052700	1	1	1	1	Q02526	Q02526	Zinc finger protein 41	Zfp41	1	
3.130206	2.904484	NaN	3.777998								3	3	4572800	1715000	5271700	6750500	0.393414279415937	0.375381418057832	1	0.251072096129796	Q04447	Q04447	Creatine kinase B-type	Ckb	1	
NaN	0.1806571	0.76757	NaN								2	2	0	1263200	2274500	439700	1	0.775139710196241	0.422538120589452	1	Q04692;Q04692-2;Q3UGK6	Q04692;Q04692-2;Q3UGK6	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	Smarcad1	3	
NaN	4.246104	NaN	3.814038								3	3	873070	1253400	3625000	2384700	1	0.162531290814725	1	0.243750007695086	Q04736;P05480;P39688;Q80XU2;P39688-2;F6UND7;P08103;P25911;P08103-2;P25911-2;D3YZ57	Q04736	Tyrosine-protein kinase Yes	Yes1	11	
1.161178	-0.3649422	1.792272	-0.4013108								57	55	7502100000	3516300000	5944700000	5762300000	0.66737439992787	0.494909264054685	0.841191005400432	0.352809273652352	Q04750;F8WIA2	Q04750	DNA topoisomerase 1	Top1	2	
-0.9341244	0.611078	-0.5352272	0.3130136								10	10	50682000	20934000	48833000	41829000	0.116449097077291	0.988560910468054	0.11712293870715	0.565755598980434	Q04841;F2Z3Y1	Q04841	DNA-3-methyladenine glycosylase	Mpg	2	
2.761115	2.624382	2.670727	3.809003								10	10	25149000	16490000	35658000	51453000	0.557662503225911	0.435434847840844	0.652463802316023	0.244763836799915	Q05CL8;A2AMD0;Q05CL8-2	Q05CL8;A2AMD0	La-related protein 7	Larp7;Gm12666	3	
3.718307	3.713476	3.033229	3.538786								9	9	50963000	93255000	48948000	207310000	0.200871610454203	0.232450909910861	0.450708270684724	0.303557414182425	Q08288;D3Z345;D3Z7N3;D3Z5X8;D3YU83;D3Z009;D6RDT2	Q08288	Cell growth-regulating nucleolar protein	Lyar	7	
NaN	NaN	-1.248725	NaN								2	2	0	0	6152800	3307500	1	1	0.047044873529358	1	Q08376	Q08376	Zinc finger protein 161	Zfp161	1	
-0.7130951	-0.426703	-1.260221	1.099565								5	5	10963000	4031400	8194300	8804300	0.147173672043791	0.466953011882939	0.046300224964503	0.854331398262857	Q0VBD2	Q0VBD2	Protein MCM10 homolog	Mcm10	1	
0.8279816	0.08406419	1.128887	-0.3361726								16	16	63149000	23710000	72141000	86458000	0.541163953531444	0.721901159190423	0.555272589884032	0.36982742892108	Q0VBL1	Q0VBL1	Tigger transposable element-derived protein 2	Tigd2	1	
2.151209	NaN	3.181103	NaN								3	3	3710600	775310	4769900	1736300	0.884785454670268	1	0.37983536582089	1	Q0VBL3	Q0VBL3		Rbm15	1	
NaN	NaN	NaN	NaN								1	1	0	1702800	0	0	1	1	1	1	Q0VEE6	Q0VEE6	Zinc finger protein 800	Znf800	1	
NaN	NaN	NaN	NaN								1	1	0	676930	1285300	3368400	1	1	1	1	Q6TEK5;Q0VGU5	Q6TEK5;Q0VGU5	Vitamin K epoxide reductase complex subunit 1-like protein 1	Vkorc1l1	2	
0.801407	0.05880134	1.566377	0.3407331								3	3	4062200	1852100	3165700	3141200	0.531634020148839	0.70818484164142	0.739130400914399	0.575108464811256	Q14AW3;Q3UNW5	Q14AW3;Q3UNW5	Transcription factor CP2-like protein 1	Tfcp2l1;Tcfcp2l1	2	
NaN	0.2751263	1.279352	0.9150236								5	5	5354700	2285000	3534300	5524500	1	0.828253121884548	0.615996830997228	0.783112368547099	Q1HFZ0;Q1HFZ0-2	Q1HFZ0;Q1HFZ0-2	tRNA (cytosine(34)-C(5))-methyltransferase	Nsun2	2	
1.774587	1.181802	NaN	NaN								2	2	1762400	793060	898690	829990	0.923532231339226	0.81703243759703	1	1	Q1PSW8	Q1PSW8	Tripartite motif-containing protein 71	Trim71	1	
0.1987455	0.4766409	3.401221	-2.635674								14	14	1529500000	693010000	1255200000	905780000	0.340369793511222	0.943904724319237	0.287904832981313	0.041442708994882	Q20BD0;Q80XR6;Q99020;Q9D6G1	Q20BD0;Q80XR6;Q99020;Q9D6G1	Heterogeneous nuclear ribonucleoprotein A/B	Hnrnpab	4	
NaN	NaN	NaN	-0.1425763								2	2	2812200	0	0	7524600	1	1	1	0.423347180646207	Q2KN98	Q2KN98	Cytospin-A	Specc1l	1	
3.769983	3.693543	4.06953	3.627373								14	14	21487000	12448000	43523000	54236000	0.188015514232269	0.235429149039749	0.104592413558307	0.283328495688562	Q3TAQ9;Q3TA68	Q3TAQ9;Q3TA68		Wdr36	2	
0.8716071	-0.357437	1.278401	-0.5911795								6	6	44707000	22990000	42098000	53822000	0.556991353916789	0.49836641600855	0.615603894554516	0.306085097384047	Q3TE40;Q62193;F6V8R7	Q3TE40;Q62193	Replication protein A 32 kDa subunit	Rpa2	3	
2.032277	2.814468	2.405993	3.420887								8	8	15189000	11806000	28252000	29036000	0.953087638501325	0.394098386524607	0.819327479425568	0.331934204673501	Q3TEA8;Q3TEA8-2;Q3TEA8-3;A2AM65;A2AM63;A2AM62;A2AM70;A2AM69	Q3TEA8;Q3TEA8-2;Q3TEA8-3;A2AM65;A2AM63	Heterochromatin protein 1-binding protein 3	Hp1bp3	8	
0.9215125	0.1456122	2.181993	-0.8382026								6	6	3733400	2659300	15165000	17404000	0.57536920494901	0.755686811319743	0.967593294921556	0.251720744600095	Q922Q8;Q3TF84	Q922Q8;Q3TF84	Leucine-rich repeat-containing protein 59	Lrrc59	2	
